Symbol,Margin,Leverage
NETWORK18,20,5
NEULANDLAB,20,5
NEWGEN,20,5
NEXT50,20,5
NEXT50IETF,20,5
NFL,20,5
NH,20,5
NHPC,20,5
NIACL,20,5
NIBE,20,5
NIFTY1,20,5
NIFTYBEES,20,5
NIFTYETF,20,5
NIFTYIETF,20,5
NIITLTD,20,5
NIITMTS,20,5
NILAINFRA,20,5
NIRLON,20,5
NITCO,20,5
NITINSPIN,20,5
NIVABUPA,20,5
NLCINDIA,20,5
NMDC,20,5
NOCIL,20,5
NORTHARC,20,5
NOVARTIND,20,5
NPST,20,5
NRBBEARING,20,5
NSDL,20,5
NSIL,20,5
NSLNISP,20,5
NTPC,20,5
NTPCGREEN,20,5
NUCLEUS,20,5
NUVAMA,20,5
NUVOCO,20,5
NYKAA,20,5
OBEROIRLTY,20,5
OFSS,20,5
OIL,20,5
OILIETF,20,5
OLAELEC,20,5
OLECTRA,20,5
OMAXAUTO,20,5
OMAXE,20,5
OMINFRAL,20,5
ONEPOINT,20,5
ONESOURCE,20,5
ONGC,20,5
ONMOBILE,20,5
OPTIEMUS,20,5
ORCHPHARMA,20,5
ORIENTCEM,20,5
ORIENTELEC,20,5
ORIENTHOT,20,5
ORIENTTECH,20,5
ORISSAMINE,20,5
ORKLAINDIA,20,5
OSWALPUMPS,20,5
PACEDIGITK,20,5
PAGEIND,20,5
PAISALO,20,5
PAKKA,20,5
PANACEABIO,20,5
PANAMAPET,20,5
PARACABLES,20,5
PARADEEP,20,5
PARAGMILK,20,5
PARAS,20,5
PARKHOSPS,20,5
PARKHOTELS,20,5
PARSVNATH,20,5
PATANJALI,20,5
PATELENG,20,5
PATELRMART,20,5
PAYTM,20,5
PCBL,20,5
PCJEWELLER,20,5
PDSL,20,5
PENIND,20,5
PERSISTENT,20,5
PETRONET,20,5
PFC,20,5
PFIZER,20,5
PFOCUS,20,5
PFS,20,5
PGEL,20,5
PGHH,20,5
PGHL,20,5
PGIL,20,5
